TRADINGDAY,INSTRUMENTID,EXCHANGEID,EXCHANGEINSTID,LASTPRICE,PRESETTLEMENTPRICE,PRECLOSEPRICE,PREOPENINTEREST,OPENPRICE,HIGHESTPRICE,LOWESTPRICE,VOLUME,TURNOVER,OPENINTEREST,CLOSEPRICE,SETTLEMENTPRICE,UPPERLIMITPRICE,LOWERLIMITPRICE,PREDELTA,CURRDELTA,UPDATETIME,UPDATEMILLISEC,BIDPRICE1,BIDVOLUME1,ASKPRICE1,ASKVOLUME1,BIDPRICE2,BIDVOLUME2,ASKPRICE2,ASKVOLUME2,BIDPRICE3,BIDVOLUME3,ASKPRICE3,ASKVOLUME3,BIDPRICE4,BIDVOLUME4,ASKPRICE4,ASKVOLUME4,BIDPRICE5,BIDVOLUME5,ASKPRICE5,ASKVOLUME5,AVERAGEPRICE,BIDPRICE6,BIDVOLUME6,ASKPRICE6,ASKVOLUME6,BIDPRICE7,BIDVOLUME7,ASKPRICE7,ASKVOLUME7,BIDPRICE8,BIDVOLUME8,ASKPRICE8,ASKVOLUME8,BIDPRICE9,BIDVOLUME9,ASKPRICE9,ASKVOLUME9,BIDPRICE10,BIDVOLUME10,ASKPRICE10,ASKVOLUME10,NEWVOLUME,VALIDATEDATE,INSERTDBTIME
20140516,IF1412,,,2133.4,2132.8,2133.8,4937,2130,2133.4,2130,4,2557980,4935,1.00E+126,1.00E+126,2346,1919.6,1.00E+126,1.00E+126,9:15:09,600,2132.4,51,2134.4,46,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,639495,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1405,,,2146.4,2147.8,2147.6,49168,2147.6,2147.6,2144.8,66,42483540,49125,1.00E+126,1.00E+126,2577.2,1718.4,1.00E+126,1.00E+126,9:15:09,600,2146.4,4,2146.8,1,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,643690,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1406-P-2200,,,175,102.8,100,13968,175,175,175,50,875000,13968,1.00E+126,1.00E+126,317.2,0.1,1.00E+126,1.00E+126,9:15:09,600,125,150,175,40,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,17500,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-P-2050,,,0.1,0.1,0.1,518637,1.00E+126,1.00E+126,1.00E+126,0,0,518637,1.00E+126,1.00E+126,214.5,0.1,1.00E+126,1.00E+126,9:15:09,600,1.00E+126,0,0.1,1200,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2250,,,0.3,0.6,1,312953,0.3,0.3,0.3,1667,50010,311785,1.00E+126,1.00E+126,215,0.1,1.00E+126,1.00E+126,9:15:09,600,1.00E+126,0,0.3,3,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,30,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2100,,,85,52.9,52,72977,90,90,85,3,26300,72977,1.00E+126,1.00E+126,267.3,0.1,1.00E+126,1.00E+126,9:15:09,600,25,100,80,1198,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,8766.666667,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1412-P-2100,,,152.2,152.2,152.2,2804,1.00E+126,1.00E+126,1.00E+126,0,0,2804,1.00E+126,1.00E+126,366.6,0.1,1.00E+126,1.00E+126,9:15:09,600,10.1,10,306.6,2,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1412-P-2000,,,90,90,90,5346,1.00E+126,1.00E+126,1.00E+126,0,0,5346,1.00E+126,1.00E+126,304.4,0.1,1.00E+126,1.00E+126,9:15:09,600,5,100,150,100,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1406,,,2135,2135.2,2136.4,40705,2133,2135.6,2132.2,307,196584660,40751,1.00E+126,1.00E+126,2348.6,1921.8,1.00E+126,1.00E+126,9:15:10,100,2134.8,4,2135.4,1,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,640340.9121,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1409,,,2122.8,2124,2124.8,12013,2122,2124.6,2121.6,14,8915940,12003,1.00E+126,1.00E+126,2336.4,1911.6,1.00E+126,1.00E+126,9:15:10,100,2121.8,32,2123.8,59,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,636852.8571,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1406-P-1900,,,0.1,3,3,75889,0.1,0.1,0.1,600,6000,75889,1.00E+126,1.00E+126,217.4,0.1,1.00E+126,1.00E+126,9:15:03,100,0.1,290,9.7,35,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,10,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2250,,,0.3,0.6,1,312953,0.3,0.3,0.3,667,20010,312286,1.00E+126,1.00E+126,215,0.1,1.00E+126,1.00E+126,9:15:03,100,1.00E+126,0,0.3,933,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,30,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2350,,,0.1,0.1,0.1,331884,1.00E+126,1.00E+126,1.00E+126,0,0,331884,1.00E+126,1.00E+126,214.5,0.1,1.00E+126,1.00E+126,9:15:03,100,1.00E+126,0,50,50,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2200,,,3.5,3.9,3.5,566890,3.5,3.5,3.5,90,31500,566899,1.00E+126,1.00E+126,218.3,0.1,1.00E+126,1.00E+126,9:15:03,100,3.5,71,5.8,2,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,350,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2100,,,90,52.9,52,72977,90,90,90,1,9000,72977,1.00E+126,1.00E+126,267.3,0.1,1.00E+126,1.00E+126,9:15:03,100,88,1,90,49,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,9000,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1407-C-2000,,,368,313.7,368,565,1.00E+126,1.00E+126,1.00E+126,0,0,565,1.00E+126,1.00E+126,528.1,99.3,1.00E+126,1.00E+126,9:15:03,100,210,75,501,10,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1406,,,2133.8,2135.2,2136.4,40705,2133,2135.6,2132.2,101,64653000,40725,1.00E+126,1.00E+126,2348.6,1921.8,1.00E+126,1.00E+126,9:15:03,600,2133.4,2,2133.8,46,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,640128.7129,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1409,,,2122,2124,2124.8,12013,2122,2123,2121.6,7,4456740,12006,1.00E+126,1.00E+126,2336.4,1911.6,1.00E+126,1.00E+126,9:15:03,600,2121,35,2123,35,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,636677.1429,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1405,,,2144.8,2147.8,2147.6,49168,2147.6,2147.6,2144.8,31,19955760,49151,1.00E+126,1.00E+126,2577.2,1718.4,1.00E+126,1.00E+126,9:15:03,600,2144.8,1,2145.8,44,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,643734.1935,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1409-C-1900,,,390,388.6,390,4167,1.00E+126,1.00E+126,1.00E+126,0,0,4167,1.00E+126,1.00E+126,603,174.2,1.00E+126,1.00E+126,9:15:03,600,201.1,10,500,100,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-P-2050,,,0.1,0.1,0.1,518637,1.00E+126,1.00E+126,1.00E+126,0,0,518637,1.00E+126,1.00E+126,214.5,0.1,1.00E+126,1.00E+126,9:15:03,600,1.00E+126,0,0.1,100,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,HO1409-C-1800,,,52,49,52,2437,1.00E+126,1.00E+126,1.00E+126,0,0,2437,1.00E+126,1.00E+126,197.8,0.2,1.00E+126,1.00E+126,9:15:04,100,43,36,180,50,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1406,,,2133.4,2135.2,2136.4,40705,2133,2135.6,2132.2,107,68493060,40722,1.00E+126,1.00E+126,2348.6,1921.8,1.00E+126,1.00E+126,9:15:04,100,2133.2,8,2133.4,1,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,640122.0561,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1409,,,2122,2124,2124.8,12013,2122,2123,2121.6,7,4456740,12006,1.00E+126,1.00E+126,2336.4,1911.6,1.00E+126,1.00E+126,9:15:04,100,2121,35,2123,35,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,636677.1429,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IF1405,,,2145.8,2147.8,2147.6,49168,2147.6,2147.6,2144.8,33,21243120,49149,1.00E+126,1.00E+126,2577.2,1718.4,1.00E+126,1.00E+126,9:15:04,100,2144.8,33,2146.2,1,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,643730.9091,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1406-C-2000,,,174.8,207.7,174.8,11520,1.00E+126,1.00E+126,1.00E+126,0,0,11520,1.00E+126,1.00E+126,422.1,0.1,1.00E+126,1.00E+126,9:15:04,100,150,21,246,1,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-P-2050,,,0.1,0.1,0.1,518637,1.00E+126,1.00E+126,1.00E+126,0,0,518637,1.00E+126,1.00E+126,214.5,0.1,1.00E+126,1.00E+126,9:15:04,100,1.00E+126,0,0.1,200,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,0,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
20140516,IO1405-C-2250,,,0.3,0.6,1,312953,0.3,0.3,0.3,767,23010,312186,1.00E+126,1.00E+126,215,0.1,1.00E+126,1.00E+126,9:15:04,100,1.00E+126,0,0.3,833,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,1.00E+126,0,30,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,1.00E+126,-17891602,-17891602,20140516,2014-5-16 9:25
