'IF1409'	IF1409	分时
时间	成交价	成交量	成交额

14/08/12 11:05	2357.3999	336.00	237654016

14/08/12 11:06	2356.6001	325.00	229744640

14/08/12 11:07	2358.8000	674.00	476930048

14/08/12 11:08	2360.0000	646.00	457289728

14/08/12 11:09	2359.2000	313.00	221560832

14/08/12 11:10	2358.8000	180.00	127385600

14/08/12 11:11	2358.2000	344.00	243417088

14/08/12 11:12	2355.2000	816.00	576757760

14/08/12 11:13	2356.0000	997.00	704389120

14/08/12 11:14	2357.3999	547.00	386777088

14/08/12 11:15	2358.3999	488.00	345292800

14/08/12 11:16	2361.3999	1677.00	1187811328

14/08/12 11:17	2361.2000	477.00	337936384

14/08/12 11:18	2361.8000	432.00	306044928

14/08/12 11:19	2361.0000	301.00	213245952

14/08/12 11:20	2359.8000	623.00	441073664

14/08/12 11:21	2361.2000	420.00	297443328

14/08/12 11:22	2361.6001	241.00	170708992

14/08/12 11:23	2362.2000	467.00	330899456

14/08/12 11:24	2361.8000	538.00	381284352

14/08/12 11:25	2361.8000	289.00	204746752

14/08/12 11:26	2361.8000	199.00	140976128

14/08/12 11:27	2363.6001	1019.00	722374656

14/08/12 11:28	2364.3999	1427.00	1012162560

14/08/12 11:29	2364.6001	382.00	270958592

14/08/12 11:30	2364.6001	426.00	302211072

14/08/12 13:01	2364.6001	600.00	425586688

14/08/12 13:02	2363.3999	178.00	126230528

14/08/12 13:03	2363.8000	173.00	122675200

14/08/12 13:04	2363.8000	161.00	114180096

14/08/12 13:05	2364.3999	203.00	143970304

14/08/12 13:06	2364.0000	323.00	229011456

14/08/12 13:07	2362.6001	582.00	412794880

14/08/12 13:08	2361.3999	858.00	607907840

14/08/12 13:09	2362.2000	261.00	184938496

14/08/12 13:10	2363.6001	436.00	309133312

14/08/12 13:11	2363.6001	385.00	273043456

14/08/12 13:12	2364.2000	280.00	198606848

14/08/12 13:13	2364.0000	396.00	280924160

14/08/12 13:14	2363.6001	315.00	223424512

14/08/12 13:15	2365.0000	307.00	217731072

14/08/12 13:16	2364.0000	631.00	447684608

14/08/12 13:17	2363.3999	441.00	312676352

14/08/12 13:18	2363.2000	239.00	169439232

14/08/12 13:19	2362.8000	208.00	147435520

14/08/12 13:20	2363.0000	140.00	99241984

14/08/12 13:21	2362.3999	400.00	283541504

14/08/12 13:22	2362.6001	467.00	330919936

14/08/12 13:23	2362.3999	209.00	148144128

14/08/12 13:24	2363.2000	102.00	72302592

14/08/12 13:25	2364.0000	387.00	274456576

14/08/12 13:26	2361.0000	823.00	583081984

14/08/12 13:27	2361.3999	423.00	299606016

14/08/12 13:28	2360.3999	425.00	301015040

14/08/12 13:29	2361.2000	208.00	147329024

14/08/12 13:30	2360.2000	571.00	404406272

14/08/12 13:31	2361.0000	344.00	243609600

14/08/12 13:32	2360.3999	171.00	121090048

14/08/12 13:33	2360.3999	315.00	223043584

14/08/12 13:34	2357.6001	1324.00	936726528

14/08/12 13:35	2357.0000	1154.00	816009216

14/08/12 13:36	2357.0000	417.00	294875136

14/08/12 13:37	2356.6001	417.00	294830080

14/08/12 13:38	2357.0000	466.00	329437184

14/08/12 13:39	2357.0000	351.00	248123392

14/08/12 13:40	2357.0000	332.00	234749952

14/08/12 13:41	2357.0000	383.00	270839808

14/08/12 13:42	2357.3999	350.00	247525376

14/08/12 13:43	2357.6001	196.00	138612736

14/08/12 13:44	2357.6001	493.00	348766208

14/08/12 13:45	2357.2000	299.00	211464192

14/08/12 13:46	2355.8000	867.00	612753408

14/08/12 13:47	2356.8000	612.00	432562176

14/08/12 13:48	2357.6001	377.00	266600448

14/08/12 13:49	2359.0000	867.00	613527552

14/08/12 13:50	2359.0000	320.00	226463744

14/08/12 13:51	2358.3999	301.00	212987904

14/08/12 13:52	2357.6001	414.00	292888576

14/08/12 13:53	2358.6001	304.00	215027712

14/08/12 13:54	2358.8000	290.00	205209600

14/08/12 13:55	2359.3999	601.00	425459712

14/08/12 13:56	2359.0000	226.00	159940608

14/08/12 13:57	2359.6001	259.00	183316480

14/08/12 13:58	2361.0000	619.00	438366208

14/08/12 13:59	2360.0000	354.00	250654720

14/08/12 14:00	2359.6001	330.00	233660416

14/08/12 14:01	2358.3999	810.00	573140992

14/08/12 14:02	2356.6001	808.00	571338752

14/08/12 14:03	2357.8000	404.00	285704192

14/08/12 14:04	2357.6001	277.00	195899392

14/08/12 14:05	2357.8000	357.00	252510208

14/08/12 14:06	2359.3999	540.00	382164992

14/08/12 14:07	2358.6001	296.00	209453056

14/08/12 14:08	2359.6001	237.00	167714816

14/08/12 14:09	2360.0000	294.00	208125952

14/08/12 14:10	2360.3999	468.00	331440128

14/08/12 14:11	2360.8000	319.00	225902592

14/08/12 14:12	2361.8000	790.00	559792128

14/08/12 14:13	2361.6001	598.00	423813120

14/08/12 14:14	2361.6001	426.00	301891584

14/08/12 14:15	2361.6001	406.00	287596544

14/08/12 14:16	2361.8000	362.00	256483328

14/08/12 14:17	2361.8000	319.00	226009088

14/08/12 14:18	2362.3999	323.00	228909056

14/08/12 14:19	2362.2000	302.00	214040576

14/08/12 14:20	2361.2000	281.00	199090176

14/08/12 14:21	2361.6001	294.00	208265216

14/08/12 14:22	2361.2000	308.00	218234880

14/08/12 14:23	2361.2000	272.00	192716800

14/08/12 14:24	2361.3999	132.00	93511680

14/08/12 14:25	2360.6001	375.00	265617408

14/08/12 14:26	2357.3999	1049.00	742227968

14/08/12 14:27	2359.3999	731.00	517226496

14/08/12 14:28	2362.0000	991.00	702095360

14/08/12 14:29	2361.0000	255.00	180674560

14/08/12 14:30	2361.6001	410.00	290463744

14/08/12 14:31	2362.2000	1040.00	737148928

14/08/12 14:32	2360.8000	419.00	296853504

14/08/12 14:33	2361.8000	502.00	355516416

14/08/12 14:34	2362.2000	272.00	192757760

14/08/12 14:35	2362.3999	296.00	209739776

14/08/12 14:36	2363.3999	543.00	384966656

14/08/12 14:37	2362.8000	314.00	222625792

14/08/12 14:38	2362.8000	185.00	131137536

14/08/12 14:39	2363.0000	323.00	228982784

14/08/12 14:40	2363.0000	304.00	215482368

14/08/12 14:41	2362.6001	471.00	333946880

14/08/12 14:42	2362.6001	398.00	282066944

14/08/12 14:43	2362.6001	168.00	119087104

14/08/12 14:44	2362.3999	151.00	107036672

14/08/12 14:45	2362.6001	385.00	272809984

14/08/12 14:46	2362.8000	430.00	304807936

14/08/12 14:47	2363.0000	305.00	216219648

14/08/12 14:48	2362.8000	256.00	181477376

14/08/12 14:49	2362.6001	341.00	241696768

14/08/12 14:50	2362.6001	169.00	119783424

14/08/12 14:51	2362.8000	238.00	168673280

14/08/12 14:52	2362.0000	367.00	260112384

14/08/12 14:53	2361.8000	243.00	172171264

14/08/12 14:54	2360.3999	586.00	415064064

14/08/12 14:55	2360.6001	686.00	485744640

14/08/12 14:56	2361.3999	465.00	329351168

14/08/12 14:57	2361.8000	230.00	162938880

14/08/12 14:58	2362.0000	326.00	230989824

14/08/12 14:59	2362.3999	451.00	319594496

14/08/12 15:00	2362.0000	269.00	190636032

14/08/12 15:01	2361.3999	483.00	342220800

14/08/12 15:02	2362.2000	323.00	228876288

14/08/12 15:03	2366.0000	1795.00	1273618432

14/08/12 15:04	2367.2000	1490.00	1057800192

14/08/12 15:05	2367.8000	1094.00	777003008

14/08/12 15:06	2368.0000	920.00	653467648

14/08/12 15:07	2367.8000	758.00	538460160

14/08/12 15:08	2368.8000	711.00	505176064

14/08/12 15:09	2370.0000	1144.00	813268992

14/08/12 15:10	2369.8000	718.00	510468096

14/08/12 15:11	2372.2000	1003.00	713531392

14/08/12 15:12	2371.3999	768.00	546398208

14/08/12 15:13	2371.3999	536.00	381337600

14/08/12 15:14	2372.6001	930.00	661790720

14/08/12 15:15	2373.6001	1882.00	1339949056

